"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"/home/ss1l/Top 100/api/controllers/node.controllers.js", "JavaScript", 0, 83, 1, 19, 103
"/home/ss1l/Top 100/api/middleware/validation.js", "JavaScript", 0, 13, 1, 5, 19
"/home/ss1l/Top 100/api/modules/note.model.js", "JavaScript", 0, 7, 1, 3, 11
"/home/ss1l/Top 100/api/routes/node.routes.js", "JavaScript", 0, 48, 0, 6, 54
"/home/ss1l/Top 100/config/database.config.js", "JavaScript", 0, 3, 0, 1, 4
"/home/ss1l/Top 100/package-lock.json", "JSON", 5692, 0, 0, 1, 5693
"/home/ss1l/Top 100/package.json", "JSON", 25, 0, 0, 1, 26
"/home/ss1l/Top 100/server.js", "JavaScript", 0, 21, 2, 8, 31
"Total", "-", 5717, 175, 5, 44, 5941
